state,shot_index,I1_mean,Q1_mean,I2_mean,Q2_mean,I1_std,Q1_std,I2_std,Q2_std
vacuum,65,0.0007503051,-0.00079961936,0.00054018525,-0.00037221657,0.023733655,0.023726301,0.027381917,0.02860688
vacuum,66,0.00088120915,0.0012733528,0.0009400476,-0.00010401997,0.024630832,0.023149995,0.02846038,0.028195566
vacuum,67,0.0008153281,-0.0013638444,0.0021047795,-0.0006322333,0.023721209,0.023262126,0.027882623,0.027797552
vacuum,68,-0.00013630066,6.559139e-05,0.0014555403,0.0007018371,0.023572093,0.024151407,0.030044906,0.02811986
vacuum,69,0.00038470648,0.0011314899,-0.0009810387,7.722169e-05,0.023920886,0.023634464,0.028234502,0.02867477
vacuum,70,-0.0003526897,0.00019462117,0.0012343086,0.0003523634,0.023532731,0.02405883,0.028438285,0.028825147
vacuum,71,-0.00035469665,-0.0007836538,-0.0011068005,-0.0009255025,0.023524635,0.023952082,0.02859337,0.02935146
vacuum,72,-0.00029272842,0.0008256974,0.00051373633,0.00047727395,0.02409105,0.024039377,0.028708018,0.02839108
vacuum,73,-0.0009772955,0.00018159536,-0.00029642443,0.0010578169,0.024631534,0.024105813,0.029183198,0.028437046
vacuum,74,-0.00047581346,0.0013392413,-0.0011299183,0.0018158283,0.0232299,0.022930361,0.028928377,0.028650349
vacuum,75,-0.0012231572,0.00057072355,-0.0023916452,0.00019766853,0.023403045,0.023968095,0.02829582,0.029183114
vacuum,76,0.0010941655,0.00034377852,0.00030883157,0.00020576312,0.023451325,0.023750262,0.02897435,0.027955668
vacuum,77,-6.552215e-05,0.0004389419,0.0013934369,0.0003671256,0.024140494,0.023858367,0.027726617,0.028757306
vacuum,78,-0.0005296312,6.906013e-05,-0.00033005883,-0.0013159384,0.024945164,0.02437841,0.027523998,0.029061267
vacuum,79,-0.00043114315,0.00033922604,0.0009861863,0.0010675485,0.023241231,0.02385203,0.02950825,0.029971499
vacuum,80,0.00051854935,5.9363374e-06,0.0027742134,-0.0005145437,0.023623742,0.024161104,0.02860342,0.027656741
