state,time_s,I1_mean,Q1_mean,I2_mean,Q2_mean
vacuum,5.36e-07,0.00048305473,-0.00011129181,-0.0012727745,7.879772e-05
vacuum,5.38e-07,-0.00045822925,-0.0010505287,0.00070304016,0.00087055855
vacuum,5.4e-07,-0.00064040977,0.0007261499,-0.0004137186,0.0015530396
vacuum,5.42e-07,0.0004363601,-0.00062837935,6.903816e-05,-0.00020866649
vacuum,5.44e-07,-0.0002777903,0.00038397562,0.000734711,-0.00036191414
vacuum,5.46e-07,0.00038684878,-0.00015575081,0.00079002324,-0.00010652865
vacuum,5.48e-07,-0.00023159955,0.00012984099,0.00056506257,-0.00063005433
vacuum,5.5e-07,0.0009628359,0.00040410453,0.00026018932,-3.9338353e-05
vacuum,5.52e-07,0.00018681385,6.389785e-05,0.00074730784,0.00095513655
vacuum,5.54e-07,-0.00083695754,-2.4610925e-05,-8.8514375e-05,-0.00011764761
vacuum,5.56e-07,-0.0008416959,0.00015110761,0.0014104369,0.0011293606
vacuum,5.58e-07,0.00069313985,0.00085822196,0.0005659079,-0.0008492994
vacuum,5.6e-07,-0.00035944433,0.0003894242,-4.456061e-05,-0.00015675332
vacuum,5.62e-07,0.0002498741,0.00016314263,-0.00014342509,-0.0010127504
vacuum,5.64e-07,0.00016860035,0.00016224361,3.6673144e-05,-0.00066246913
vacuum,5.66e-07,-0.0005061199,-9.261565e-05,-0.00060195365,-0.00032063448
vacuum,5.68e-07,0.00014563903,0.00029996247,-0.00032080704,-0.00030377926
vacuum,5.7e-07,5.1759136e-05,0.00047210164,0.0006141241,-0.000561228
vacuum,5.72e-07,0.00083678134,0.00023093435,0.0005994731,0.0004098788
vacuum,5.74e-07,-0.00036251865,0.00043980006,-0.0005457149,-0.0005497991
vacuum,5.76e-07,0.00032906063,-0.00013218453,0.00089234224,-0.00043246627
vacuum,5.78e-07,0.0013950074,-0.0009523502,-0.0010555814,0.00066923024
vacuum,5.8e-07,0.00043359265,-0.00054018904,-0.0013559865,0.00029132384
vacuum,5.82e-07,0.00018672833,0.00019370206,-0.0002643792,-0.00085762556
vacuum,5.84e-07,-6.9798974e-05,0.00014933827,-0.0003697473,-0.0005827124
vacuum,5.86e-07,6.847178e-05,-0.00030307774,-9.89853e-05,0.00066254655
vacuum,5.88e-07,0.00012725343,-0.00078827323,0.00012574805,-0.00017592958
vacuum,5.9e-07,0.0008046904,-3.1454187e-05,0.00035946653,0.00011785791
vacuum,5.92e-07,-0.00023758461,-0.00058856024,0.0007228012,1.8317724e-05
vacuum,5.94e-07,-0.0008248982,-0.0005917134,0.0003762977,-0.00091327005
vacuum,5.96e-07,-0.0002871893,-0.0011783295,5.3142216e-05,-0.0004776675
vacuum,5.98e-07,-0.00028473933,-0.00016117512,0.0011442064,0.0014649656
vacuum,6e-07,-0.0002019294,0.0013509918,0.00026369898,0.0022537494
vacuum,6.02e-07,0.00042119194,-0.00011352056,-0.00030057266,-2.4191135e-05
vacuum,6.04e-07,-0.00049393985,-0.00022360384,0.00072660914,-6.0832135e-05
vacuum,6.06e-07,-0.0008161458,0.0009518841,-0.0008246868,-0.000244583
vacuum,6.08e-07,4.7528527e-05,7.561173e-05,-5.3404376e-05,0.0007959723
vacuum,6.1e-07,0.0003945004,5.9048667e-05,0.0008309265,0.00068077835
vacuum,6.12e-07,0.0012663184,0.0001466445,0.00042520126,-0.000805991
vacuum,6.14e-07,-0.0002081837,-0.0003877019,0.00082745386,-4.618116e-05
vacuum,6.16e-07,-0.00050731224,-0.0001505435,0.00031993544,-0.00062063034
vacuum,6.18e-07,0.001069418,-0.0006767602,0.00058920943,0.0003998043
vacuum,6.2e-07,0.00032003166,0.000197792,9.323048e-05,0.00051079586
vacuum,6.22e-07,-0.00014869723,0.000533943,-0.0015585937,-0.00046556423
vacuum,6.24e-07,-0.00036025402,-0.0013833599,0.0005852459,0.00091154355
vacuum,6.26e-07,0.0007393594,-0.00041452658,-0.00030684398,-8.7628665e-05
vacuum,6.28e-07,0.00048982096,-0.00064384047,-0.00036806258,9.015123e-05
vacuum,6.3e-07,-0.0010405446,-5.9314072e-05,-2.45763e-05,-0.0004320951
vacuum,6.32e-07,-0.00033210896,-9.0311674e-05,-0.00031687558,-0.00020101441
vacuum,6.34e-07,-7.2578056e-05,-0.00036437908,-0.000404166,0.00012099175
vacuum,6.36e-07,0.0005777042,-0.00073814037,-0.00044605855,0.00011083878
vacuum,6.38e-07,-0.0010353618,4.8445127e-05,0.0010444571,-0.0008483226
vacuum,6.4e-07,-0.00029512713,-0.00043459176,-0.0010098821,-0.00016887397
vacuum,6.42e-07,0.00085824874,-1.0961967e-05,-9.2200076e-05,-0.00029578188
vacuum,6.44e-07,-0.0002432713,-0.00049523154,0.0013038539,-0.0004979682
vacuum,6.46e-07,0.0006377534,5.5722332e-05,0.00016932256,0.00025389402
vacuum,6.48e-07,-0.00089551206,-0.000365822,0.00014117526,0.00010961063
vacuum,6.5e-07,0.00039188174,0.00011228532,-0.00048454612,0.00034753687
vacuum,6.52e-07,8.431321e-05,-0.0009246911,-0.0011452812,0.0004600957
vacuum,6.54e-07,0.0010434268,0.00016618252,0.00019596092,0.00021749419
vacuum,6.56e-07,-0.00070918107,-0.0001601901,0.0011605752,-0.0002711814
vacuum,6.58e-07,0.0008223919,-0.0003700591,0.00012447503,0.0003174196
vacuum,6.6e-07,-0.0006694949,0.00021270913,-0.0005029484,-0.0003018982
vacuum,6.62e-07,-0.00043768052,-9.673634e-05,-0.0012813789,-0.00017830078
vacuum,6.64e-07,-0.0007052216,0.00059808575,-0.0010579394,0.0004235424
vacuum,6.66e-07,-0.0009190759,0.0006037963,0.0008043689,0.000440731
vacuum,6.68e-07,0.00023427306,0.00041662264,0.001010584,-0.0002483287
vacuum,6.7e-07,-0.000100165795,-0.0005783067,4.538817e-05,-0.0012886846
vacuum,6.72e-07,0.00036837667,0.00041275533,0.00024751324,-0.0008107119
vacuum,6.74e-07,-0.0002934355,5.096288e-05,-3.5574754e-05,-5.4226025e-06
vacuum,6.76e-07,-0.00034300453,-0.0004821423,-0.00040398692,-0.00012930912
vacuum,6.78e-07,-0.00015426746,0.001015297,-0.0005035109,0.001372222
vacuum,6.8e-07,-0.0007669127,0.00021130916,-0.0010146055,-0.00013232388
vacuum,6.82e-07,-0.00031292008,0.00031237086,0.00072789344,-0.000110885354
vacuum,6.84e-07,-0.00017489698,-5.0905357e-05,-0.00034123828,0.00063820276
vacuum,6.86e-07,0.00064436335,0.00013614308,-0.00038285766,-0.00022435206
vacuum,6.88e-07,-0.00034776807,-6.714407e-05,0.0007301448,0.0012896339
vacuum,6.9e-07,-0.00043404003,-0.00047143572,0.0003360288,0.0005577989
vacuum,6.92e-07,-0.0009245806,2.2673876e-05,-0.00048003238,-0.00058923406
vacuum,6.94e-07,-0.00040412755,7.8186386e-05,-0.0012604684,-3.660928e-05
vacuum,6.96e-07,-6.33303e-05,0.00015475177,0.00038760382,-0.00021459271
vacuum,6.98e-07,-2.7233871e-05,-0.00013828887,-0.0004083112,0.0006809587
vacuum,7e-07,0.00083591585,0.001191419,-6.089094e-06,0.00037127116
vacuum,7.02e-07,0.0011016801,0.0005792421,-0.00036646958,0.00015631704
vacuum,7.04e-07,-2.3020782e-05,-0.00034108115,-0.0005723577,-0.0006332964
vacuum,7.06e-07,0.00051954173,0.0008363989,-0.0004990748,-0.0013542814
vacuum,7.08e-07,0.00018474265,-0.00011131905,0.000109509994,-0.0007276992
vacuum,7.1e-07,-0.00048811504,0.0001452246,-0.0002309256,-0.00037573112
vacuum,7.12e-07,0.00076587556,7.208216e-05,-0.0005800741,0.00047677543
vacuum,7.14e-07,-0.0001612987,-0.00087298447,6.7715126e-05,0.00067002286
vacuum,7.16e-07,0.00017112376,-0.00029664085,-5.3637417e-05,-0.0006253404
vacuum,7.18e-07,0.0003177494,-0.00056676107,-7.6696386e-05,-0.00023202901
vacuum,7.2e-07,-0.0010301312,0.0003256079,0.00037313628,-0.00061385677
vacuum,7.22e-07,0.00012378002,-0.00043724885,-0.00021419094,-0.00048707405
vacuum,7.24e-07,-3.8193855e-05,0.00062486733,8.013374e-05,-0.000469378
vacuum,7.26e-07,0.0004973272,-0.0004625088,0.00075685757,-0.00042342025
vacuum,7.28e-07,-0.00096306484,-0.00041493276,-0.00024454357,0.0014446704
vacuum,7.3e-07,0.0010700701,-0.00078005734,-0.00030649453,-0.0006298228
vacuum,7.32e-07,-0.00028735213,8.926412e-05,-0.00077769154,0.00025167127
vacuum,7.34e-07,3.0287632e-05,5.7248206e-05,0.0015641074,0.0009990868
vacuum,7.36e-07,0.00035264844,0.00029066444,-0.0003425135,0.00046290536
vacuum,7.38e-07,-0.0013709904,0.00070298,-0.0002938991,0.00037455503
vacuum,7.4e-07,-0.00020646781,-0.00032930775,0.0010447528,0.0006988197
vacuum,7.42e-07,-0.00026683373,0.0006550323,-0.00017171189,-0.00062676263
vacuum,7.44e-07,0.00015551351,-4.385981e-05,-0.0011768212,-0.0006744938
vacuum,7.46e-07,-0.00064457813,-0.00022671651,-0.00085630774,0.00015144417
vacuum,7.48e-07,-0.0003407105,-6.9751106e-05,0.0004564347,0.00039839948
vacuum,7.5e-07,0.0006428127,-0.0005281627,-0.00050901173,-0.00062802125
vacuum,7.52e-07,2.6904723e-05,-0.00014119988,0.00029239422,0.0013744949
vacuum,7.54e-07,-0.000135797,-6.468698e-05,0.00051821733,0.00046075747
vacuum,7.56e-07,-5.865359e-07,-3.2081283e-05,-0.00032413684,-0.0008947802
vacuum,7.58e-07,-0.0006847986,0.00025662564,-2.5574456e-05,-0.00013593938
vacuum,7.6e-07,0.0010172392,0.00042521956,-0.001092076,0.00021854897
vacuum,7.62e-07,0.00021525983,-0.00018606026,-0.00042984236,0.00044255398
vacuum,7.64e-07,0.0006483483,-0.00010815071,0.0007852502,-0.0004469877
vacuum,7.66e-07,9.528359e-05,-1.5726428e-05,-0.0010265862,0.00038130503
vacuum,7.68e-07,-0.00019389176,0.000741858,-6.866393e-05,9.4410905e-05
vacuum,7.7e-07,0.00033752897,0.00026080865,0.0009049212,-0.0015061103
vacuum,7.72e-07,-0.0004742034,-0.0006105323,0.0009052506,0.0006953847
vacuum,7.74e-07,0.00053581636,-0.0008544554,-0.0005685842,-0.0010170565
vacuum,7.76e-07,0.00037034412,0.0009995104,0.0003278797,0.00033864568
vacuum,7.78e-07,0.00010666386,0.00028751578,-0.0003595917,-0.0006286718
vacuum,7.8e-07,-0.00020972034,-0.0002807231,-1.2914069e-05,-5.8377893e-05
vacuum,7.82e-07,2.1921227e-05,0.00079458446,0.00020981097,-0.0014959244
vacuum,7.84e-07,0.00022176838,0.0007044374,-0.00036572746,0.00015835046
vacuum,7.86e-07,0.00013431611,0.0007559541,2.9008452e-05,0.00034245398
vacuum,7.88e-07,-0.00012740552,-0.0003695219,-0.0006140175,-0.0002779197
vacuum,7.9e-07,-9.5362026e-05,0.0004681776,0.00051711575,9.637172e-05
vacuum,7.92e-07,-0.0005666431,0.0004252891,-0.0005692652,-0.0005781207
vacuum,7.94e-07,0.0007335226,2.9306793e-05,0.0011967454,-0.00010587823
vacuum,7.96e-07,0.0011561974,-3.6620735e-05,2.4799889e-05,-0.00048080893
vacuum,7.98e-07,-0.00064289995,0.0006123377,0.0007576672,0.00038920244
vacuum,8e-07,0.00026218782,0.0005584817,-4.5372028e-05,0.00012260508
vacuum,8.02e-07,-0.0005817535,-0.00025409073,0.0004415444,-2.3924113e-05
vacuum,8.04e-07,0.00032431446,0.00058079447,-0.0013810332,-0.0005708638
vacuum,8.06e-07,-0.0003997872,-0.00021248471,0.00053317327,-0.00019928739
vacuum,8.08e-07,0.00019876302,-0.0012844941,-0.001198884,0.0003293458
vacuum,8.1e-07,-0.00033318019,-5.39368e-06,-0.0007458427,-0.0016033731
vacuum,8.12e-07,-0.00041850694,0.0012241891,-6.957502e-05,0.0010813214
vacuum,8.14e-07,-0.0013055785,-0.0007391126,-0.0012212961,0.0014873599
vacuum,8.16e-07,-0.0010183869,-0.00017369486,-0.00034241064,0.00034678588
vacuum,8.18e-07,4.657206e-05,-0.00041524906,-4.013763e-05,0.0002603431
vacuum,8.2e-07,0.00080554787,0.0008248021,-0.0013671896,0.0014900854
vacuum,8.22e-07,-0.00014636051,0.00011302433,0.00046956952,0.0008276162
vacuum,8.24e-07,0.00080644665,0.0008172054,0.0002995372,-0.00040791326
vacuum,8.26e-07,-0.00011339673,-0.0002723347,0.00037131828,-8.620256e-05
vacuum,8.28e-07,0.00016480772,-0.00015765308,-0.000608252,0.000244468
vacuum,8.3e-07,0.00038046562,-2.6508148e-06,0.00047741606,-0.0005159039
vacuum,8.32e-07,-2.3022872e-05,-3.2633387e-05,-0.0005359308,-0.0009213309
