pulse_index,pulseSigma_s,attenuation_index,attenuation,ampIf,I1,Q1,P1,I2,Q2,P2,PCorr,STD_I1,STD_Q1,STD_P1,STD_I2,STD_Q2,STD_P2,STD_PCorr
1,2.25e-08,8,8.453457503259294,0.3787539061662745,0.0008735543369290428,0.003550910575293784,0.0011428109617283744,0.0006865591526584256,0.0032778141472248425,0.0017042484343909256,6.211327243350217e-05,9.255700960754821e-05,9.310416116379458e-05,4.47045267432594e-06,0.00011384858886005376,0.00011346410630269062,6.700127950022005e-06,3.841471301977078e-06
1,2.25e-08,9,8.653511447329237,0.37013011597285034,0.000773777824943426,0.0037009653080068276,0.0011470952780900303,0.0007950329758628454,0.0035381623813474533,0.0017142020435996766,6.230520629347595e-05,9.326032405149904e-05,9.267673889401244e-05,4.460060753916522e-06,0.00011397513151646877,0.00011387551939902951,6.739512059097863e-06,3.859155469497892e-06
1,2.25e-08,10,8.858281890236427,0.36150632577942615,0.000826210058897285,0.003137061571755706,0.001144273303088419,0.000779026232198111,0.002995020590680755,0.0017395777152812118,6.107880271984422e-05,9.31126661451067e-05,9.2903155003775e-05,4.481210159190237e-06,0.00011553819769179598,0.00011423946141837276,6.836658311369004e-06,3.900822786513066e-06
1,2.25e-08,11,9.067996606454969,0.35288253558600197,0.0007867987370662779,0.0032031276662459526,0.001151731119396296,0.0007273648355392039,0.0031433029250906384,0.001717711855894443,7.254916015950638e-05,9.358465494278615e-05,9.301215631072162e-05,4.484769871802952e-06,0.0001141700125242974,0.00011409892110484862,6.747489544746795e-06,3.872877349537973e-06
1,2.25e-08,12,9.282900279508187,0.34425874539257784,0.0008709694703678547,0.0029969787250217032,0.0011499815033732621,0.0006331049250436208,0.00272635504178975,0.0017318670715035045,7.665124849345449e-05,9.344966027598701e-05,9.309772247610012e-05,4.521932220904543e-06,0.00011490910559445319,0.00011447516829624935,6.757810783152959e-06,3.882040762273819e-06
1,2.25e-08,13,9.503256218205799,0.33563495519915365,0.0008784845965019601,0.00279586813823883,0.0011652871062648494,0.0008830956387292631,0.002728333501532111,0.0017476579079650932,7.676221156458201e-05,9.38352223684539e-05,9.405379325158802e-05,4.556779942200795e-06,0.00011537081493936888,0.00011503590933286176,6.8756236545779716e-06,3.940744808596942e-06
1,2.25e-08,14,9.72934829630627,0.32701116500572946,0.0007821745380245981,0.002438818389074756,0.0011583543030720827,0.0007711265814419149,0.0022758273862233985,0.0017391061234184753,8.249752635050263e-05,9.355783114243602e-05,9.393223688769061e-05,4.523101495160841e-06,0.00011525428835223523,0.0001147476181744735,6.8159009848603665e-06,3.914655581366137e-06
1,2.25e-08,15,9.961483151443034,0.3183873748123053,0.0008149901496399867,0.0025896263310960736,0.0011839208083150614,0.0005409324141081246,0.002318008261293974,0.0017511508328068451,8.069681093773449e-05,9.459817911838812e-05,9.48962022608257e-05,4.593087785643273e-06,0.00011548655852498964,0.00011532074986565545,6.831619957158004e-06,3.953734943468795e-06
1,2.25e-08,16,10.199992686044716,0.3097635846188811,0.0005381129843039104,0.001934423186092096,0.001165723720587036,0.0003739234939353606,0.001871009358048005,0.0017727325487984877,9.702768087039051e-05,9.403232847617006e-05,9.426181277066345e-05,4.537357800660708e-06,0.0001161289283475418,0.00011623396292112174,6.930384161130755e-06,3.941724580254922e-06
1,2.25e-08,17,10.445236921428332,0.3011397944254569,0.0006230076002325607,0.0016427407726529427,0.001175437668741682,0.00026301127220832885,0.0015855542546659778,0.001753241200991118,9.421365736068795e-05,9.425637066681917e-05,9.489866744705676e-05,4.563705824736472e-06,0.00011572606166315768,0.00011542286884342564,6.79698513949794e-06,3.9214288961641466e-06
1,2.25e-08,18,10.6976072666582,0.2925160042320327,0.00033505052436102567,0.0012111534314735051,0.001176578031864302,0.0004844955643752705,0.001363906492777842,0.0017735695184951247,9.490032133500548e-05,9.432934253683218e-05,9.503895613902073e-05,4.568720741874601e-06,0.00011623367647272621,0.0001162856450254056,6.940336260688759e-06,3.976751086143409e-06
1,2.25e-08,19,10.957530276671385,0.2838922140386086,0.0006061227916998132,0.00111068288305451,0.0011818741856194593,0.0006027191124966386,0.0011662222949030577,0.0017709665029131247,9.683020205127685e-05,9.443093130084333e-05,9.536096105269293e-05,4.5913644546059595e-06,0.00011585772889337107,0.00011651418211239708,6.923686082654474e-06,3.956730174998654e-06
1,2.25e-08,20,11.225471990265767,0.2752684238451844,0.00029948300804145326,0.00016286301624675388,0.0011835401208714308,0.00020265583548065394,0.00018098373396977782,0.0017846503710227044,9.868956319252638e-05,9.450754131735212e-05,9.55369990415308e-05,4.584851659748441e-06,0.00011683665849680823,0.00011654076539831464,6.968318877635019e-06,3.996497076721276e-06
1,2.25e-08,21,11.5019429587431,0.2666446336517603,0.00020152792287945077,-0.00010297067772131545,0.0011880758806112868,0.0001066772005824303,-6.820745957405441e-05,0.0017814351146384058,0.00010228184168638452,9.471489834322557e-05,9.569894947888747e-05,4.6187889925030635e-06,0.00011643659803777201,0.00011673427367299011,6.918874284723204e-06,3.99646661988308e-06
1,2.25e-08,22,11.787504101511022,0.2580208434583361,2.8068876244699225e-05,-0.0005509747755299769,0.0011941566965008139,8.852037217761085e-05,-0.0004286043455988541,0.0017885462584067808,0.0001021666666097423,9.538472746720355e-05,9.549808719171285e-05,4.625292289377668e-06,0.00011657261181494408,0.0001170514233446461,6.988357372055571e-06,3.9873224452231076e-06
1,2.25e-08,23,12.082773557401786,0.24939705326491188,0.00011841094712855413,-0.0009944099969702686,0.0011908160357667998,7.759510283388964e-05,-0.0011387810107559807,0.001781057693432874,0.00010175522622335424,9.486201800367555e-05,9.569582464487399e-05,4.597663268956843e-06,0.00011636020565262112,0.00011670166429281549,6.936671635102305e-06,3.970403690057986e-06
1,2.25e-08,24,12.388434742062973,0.24077326307148772,-0.00021920972936078932,-0.001757747129742232,0.001193865686156745,-0.00032144589495252545,-0.0015977722463151245,0.0017733514378254172,9.938120170230487e-05,9.516018198833013e-05,9.547247145487485e-05,4.646759047030214e-06,0.00011603538108312116,0.000116432456503891,6.91152600250358e-06,4.005293760201653e-06
1,2.25e-08,25,12.70524587551948,0.23214947287806353,-0.00025509521983214153,-0.002123063965127108,0.0011903775626227382,-0.0003388888271567751,-0.0018573969462080272,0.0017724252670111872,0.00010055866363373834,9.506775963261074e-05,9.517064335442907e-05,4.618461998866696e-06,0.00011629636792237457,0.0001160512102873417,6.890907895807081e-06,3.990473976677117e-06
1,2.25e-08,26,13.03405131403984,0.22352568268463938,-0.00045696880806284703,-0.002363517791569399,0.0011893464873235164,-0.00015617613129207037,-0.0019813316131106853,0.0017701489608262682,9.697948665229045e-05,9.477906495667027e-05,9.527785006916345e-05,4.6131636340795814e-06,0.00011604957821355572,0.00011612324512722574,6.945695740454768e-06,3.96514635182458e-06
